name,description,price
"Écran LED 24 pouces","Écran haute résolution 1080p, parfait pour le bureau et le gaming occasionnel",199.99
"Clavier mécanique RGB","Clavier gaming avec switches Cherry MX Blue et rétroéclairage personnalisable",89.99
"Souris sans fil ergonomique","Souris professionnelle avec batterie longue durée et capteur haute précision",49.99
"Casque audio Bluetooth","Casque avec réduction de bruit active et autonomie de 30 heures",159.99
"Webcam HD","Webcam 1080p avec micro intégré et correction automatique de la luminosité",69.99
"Hub USB-C","Hub 7-en-1 avec ports HDMI, USB 3.0 et lecteur de carte SD",39.99
"SSD 500Go","Disque SSD haute performance avec vitesse de lecture jusqu'à 550 Mo/s",79.99
"Tapis de souris XL","Tapis de souris gaming format bureau avec surface optimisée",24.99
"Support pour ordinateur portable","Support ergonomique en aluminium avec réglage de la hauteur",29.99
"Batterie externe 20000mAh","Powerbank avec charge rapide et affichage LED de la batterie",45.99
